,center_id,name,address,state_name,district_name,block_name,pincode,lat,long,from,to,fee_type,sessions,vaccine_fees,session_id,date,available_capacity,min_age_limit,vaccine,slots,available_capacity_dose1,available_capacity_dose2
22,580262,Balak Ram Hospital SITE 1,"BALAK RAM HOSPITAL, TIMAR PUR DELHI 110054",Delhi,Central Delhi,Not Applicable,110054,28,77,09:00:00,21:00:00,Free,"{'session_id': '6b154cf6-ef14-4e89-be59-9dc14e5ad550', 'date': '26-05-2021', 'available_capacity': 196, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 98, 'available_capacity_dose2': 98}",,6b154cf6-ef14-4e89-be59-9dc14e5ad550,26-05-2021,196,45,COVISHIELD,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",98,98
23,606916,Dr B L Kapur Hospital Site 4,PUSA ROAD RAJINDRA PLACE NEW DELHI 110005,Delhi,Central Delhi,Not Applicable,110005,28,77,09:00:00,16:00:00,Paid,"{'session_id': '59bf16d6-b3ed-4d1a-9131-f8250211dcea', 'date': '20-05-2021', 'available_capacity': 25, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 25}","[{'vaccine': 'COVISHIELD', 'fee': '900'}]",59bf16d6-b3ed-4d1a-9131-f8250211dcea,20-05-2021,25,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-04:00PM']",0,25
24,693803,RPVV Link Road Karol B SITE 5,Link Road Karol Bagh New Delhi - 110005 (School ID - 2128031),Delhi,Central Delhi,Not Applicable,110005,28,77,09:00:00,17:00:00,Free,"{'session_id': '757485ac-5b19-4461-ab34-14753ebe79be', 'date': '20-05-2021', 'available_capacity': 0, 'min_age_limit': 18, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 0}",,757485ac-5b19-4461-ab34-14753ebe79be,20-05-2021,0,18,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
25,666966,LNJP Hospital DH Site 5,,Delhi,Central Delhi,Not Applicable,110006,28,77,09:00:00,17:00:00,Free,"{'session_id': '217b5caa-968d-47b3-b687-c5c1a65b6ab8', 'date': '20-05-2021', 'available_capacity': 168, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 76, 'available_capacity_dose2': 92}",,217b5caa-968d-47b3-b687-c5c1a65b6ab8,20-05-2021,168,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",76,92
25,666966,LNJP Hospital DH Site 5,,Delhi,Central Delhi,Not Applicable,110006,28,77,09:00:00,17:00:00,Free,"{'session_id': 'c36526e2-5a95-4269-b7f3-d2426933acc8', 'date': '21-05-2021', 'available_capacity': 178, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 84, 'available_capacity_dose2': 94}",,c36526e2-5a95-4269-b7f3-d2426933acc8,21-05-2021,178,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",84,94
25,666966,LNJP Hospital DH Site 5,,Delhi,Central Delhi,Not Applicable,110006,28,77,09:00:00,17:00:00,Free,"{'session_id': '462e4aee-c6a3-45ef-97df-c9a4a6a8c69b', 'date': '22-05-2021', 'available_capacity': 171, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 81, 'available_capacity_dose2': 90}",,462e4aee-c6a3-45ef-97df-c9a4a6a8c69b,22-05-2021,171,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",81,90
25,666966,LNJP Hospital DH Site 5,,Delhi,Central Delhi,Not Applicable,110006,28,77,09:00:00,17:00:00,Free,"{'session_id': '1cd4aa52-a936-4bd1-bb68-0ce27de7a09c', 'date': '24-05-2021', 'available_capacity': 192, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 92, 'available_capacity_dose2': 100}",,1cd4aa52-a936-4bd1-bb68-0ce27de7a09c,24-05-2021,192,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",92,100
25,666966,LNJP Hospital DH Site 5,,Delhi,Central Delhi,Not Applicable,110006,28,77,09:00:00,17:00:00,Free,"{'session_id': '545b9a7b-0511-4553-bb36-75b729c02f47', 'date': '25-05-2021', 'available_capacity': 197, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 98, 'available_capacity_dose2': 99}",,545b9a7b-0511-4553-bb36-75b729c02f47,25-05-2021,197,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",98,99
26,702682,SKV School Sarai Rohilla,SARAI ROHILLA,Delhi,Central Delhi,Not Applicable,110035,26,77,09:00:00,17:00:00,Free,"{'session_id': '709957e7-5d65-47d0-9dfe-c9dd1c5ebfba', 'date': '20-05-2021', 'available_capacity': 49, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 24, 'available_capacity_dose2': 25}",,709957e7-5d65-47d0-9dfe-c9dd1c5ebfba,20-05-2021,49,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",24,25
27,563048,G.B.Pant Hospital DH SITE 2,"J.L.N Marg, Delhi Gate, New Delhi 110001",Delhi,Central Delhi,Not Applicable,110001,28,77,09:00:00,21:00:00,Free,"{'session_id': 'e9c55532-4600-4a66-8c4b-425043b13e6c', 'date': '20-05-2021', 'available_capacity': 51, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 8, 'available_capacity_dose2': 43}",,e9c55532-4600-4a66-8c4b-425043b13e6c,20-05-2021,51,45,COVISHIELD,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",8,43
27,563048,G.B.Pant Hospital DH SITE 2,"J.L.N Marg, Delhi Gate, New Delhi 110001",Delhi,Central Delhi,Not Applicable,110001,28,77,09:00:00,21:00:00,Free,"{'session_id': '48a68643-bbc7-4068-ad80-61023abd7513', 'date': '21-05-2021', 'available_capacity': 107, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 1, 'available_capacity_dose2': 106}",,48a68643-bbc7-4068-ad80-61023abd7513,21-05-2021,107,45,COVISHIELD,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",1,106
27,563048,G.B.Pant Hospital DH SITE 2,"J.L.N Marg, Delhi Gate, New Delhi 110001",Delhi,Central Delhi,Not Applicable,110001,28,77,09:00:00,21:00:00,Free,"{'session_id': 'e56e18a2-2e3f-4ae3-85d5-10e085113ada', 'date': '22-05-2021', 'available_capacity': 36, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 35, 'available_capacity_dose2': 1}",,e56e18a2-2e3f-4ae3-85d5-10e085113ada,22-05-2021,36,45,COVISHIELD,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",35,1
27,563048,G.B.Pant Hospital DH SITE 2,"J.L.N Marg, Delhi Gate, New Delhi 110001",Delhi,Central Delhi,Not Applicable,110001,28,77,09:00:00,21:00:00,Free,"{'session_id': '0bed6c66-b439-4a22-ae7c-905dd012efef', 'date': '24-05-2021', 'available_capacity': 89, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 58, 'available_capacity_dose2': 31}",,0bed6c66-b439-4a22-ae7c-905dd012efef,24-05-2021,89,45,COVISHIELD,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",58,31
27,563048,G.B.Pant Hospital DH SITE 2,"J.L.N Marg, Delhi Gate, New Delhi 110001",Delhi,Central Delhi,Not Applicable,110001,28,77,09:00:00,21:00:00,Free,"{'session_id': 'e2ffce94-f452-449e-9a47-de22ab0da4d6', 'date': '25-05-2021', 'available_capacity': 144, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 43, 'available_capacity_dose2': 101}",,e2ffce94-f452-449e-9a47-de22ab0da4d6,25-05-2021,144,45,COVISHIELD,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",43,101
27,563048,G.B.Pant Hospital DH SITE 2,"J.L.N Marg, Delhi Gate, New Delhi 110001",Delhi,Central Delhi,Not Applicable,110001,28,77,09:00:00,21:00:00,Free,"{'session_id': 'c2ae4deb-8f02-4fba-9583-05c291209a8e', 'date': '26-05-2021', 'available_capacity': 164, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 91, 'available_capacity_dose2': 73}",,c2ae4deb-8f02-4fba-9583-05c291209a8e,26-05-2021,164,45,COVISHIELD,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",91,73
28,560735,Burari Hospital Session Site 1,"Kaushik Enclave, Shankarpura, Burari",Delhi,Central Delhi,Not Applicable,110084,28,77,09:00:00,17:00:00,Free,"{'session_id': 'cf2b702a-d513-4480-8434-dc3df77dad8a', 'date': '20-05-2021', 'available_capacity': 102, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 102}",,cf2b702a-d513-4480-8434-dc3df77dad8a,20-05-2021,102,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,102
28,560735,Burari Hospital Session Site 1,"Kaushik Enclave, Shankarpura, Burari",Delhi,Central Delhi,Not Applicable,110084,28,77,09:00:00,17:00:00,Free,"{'session_id': '8bb91089-3175-47f9-a882-cfcf81e0d6af', 'date': '21-05-2021', 'available_capacity': 112, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 42, 'available_capacity_dose2': 70}",,8bb91089-3175-47f9-a882-cfcf81e0d6af,21-05-2021,112,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",42,70
28,560735,Burari Hospital Session Site 1,"Kaushik Enclave, Shankarpura, Burari",Delhi,Central Delhi,Not Applicable,110084,28,77,09:00:00,17:00:00,Free,"{'session_id': 'eedafd9b-87a8-425a-a553-28011cbc1c16', 'date': '22-05-2021', 'available_capacity': 113, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 13, 'available_capacity_dose2': 100}",,eedafd9b-87a8-425a-a553-28011cbc1c16,22-05-2021,113,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",13,100
28,560735,Burari Hospital Session Site 1,"Kaushik Enclave, Shankarpura, Burari",Delhi,Central Delhi,Not Applicable,110084,28,77,09:00:00,17:00:00,Free,"{'session_id': 'b666dab5-5326-418b-8d4d-8710a20aaedf', 'date': '23-05-2021', 'available_capacity': 113, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 74, 'available_capacity_dose2': 39}",,b666dab5-5326-418b-8d4d-8710a20aaedf,23-05-2021,113,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",74,39
28,560735,Burari Hospital Session Site 1,"Kaushik Enclave, Shankarpura, Burari",Delhi,Central Delhi,Not Applicable,110084,28,77,09:00:00,17:00:00,Free,"{'session_id': '6d88ce3f-2e45-4c7d-9aa1-5f48b035b1c3', 'date': '24-05-2021', 'available_capacity': 169, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 92, 'available_capacity_dose2': 77}",,6d88ce3f-2e45-4c7d-9aa1-5f48b035b1c3,24-05-2021,169,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",92,77
28,560735,Burari Hospital Session Site 1,"Kaushik Enclave, Shankarpura, Burari",Delhi,Central Delhi,Not Applicable,110084,28,77,09:00:00,17:00:00,Free,"{'session_id': 'e8b00425-8ac2-40ef-95e6-23d3b04b6d9e', 'date': '25-05-2021', 'available_capacity': 170, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 92, 'available_capacity_dose2': 78}",,e8b00425-8ac2-40ef-95e6-23d3b04b6d9e,25-05-2021,170,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",92,78
28,560735,Burari Hospital Session Site 1,"Kaushik Enclave, Shankarpura, Burari",Delhi,Central Delhi,Not Applicable,110084,28,77,09:00:00,17:00:00,Free,"{'session_id': '3697c957-cb67-4b88-a629-5d8753e7bbee', 'date': '26-05-2021', 'available_capacity': 176, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 76, 'available_capacity_dose2': 100}",,3697c957-cb67-4b88-a629-5d8753e7bbee,26-05-2021,176,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",76,100
29,4907,MCW Ghanta Ghar PHC,923 GHANTA GHAR DELHI-110007,Delhi,Central Delhi,Not Applicable,110007,28,77,09:00:00,17:00:00,Free,"{'session_id': '1db7efa5-75c1-467c-9946-a4f6e73a7374', 'date': '20-05-2021', 'available_capacity': 1, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 1, 'available_capacity_dose2': 0}",,1db7efa5-75c1-467c-9946-a4f6e73a7374,20-05-2021,1,45,COVAXIN,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",1,0
30,645205,Balak Ram Hospital SITE 3,BALAK RAM HOSPITAL TIMAR PUR DELHI 110054,Delhi,Central Delhi,Not Applicable,110054,28,77,09:00:00,17:00:00,Free,"{'session_id': '0f52162b-d1ab-459a-964b-77af8a4ffea7', 'date': '20-05-2021', 'available_capacity': 192, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 92, 'available_capacity_dose2': 100}",,0f52162b-d1ab-459a-964b-77af8a4ffea7,20-05-2021,192,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",92,100
30,645205,Balak Ram Hospital SITE 3,BALAK RAM HOSPITAL TIMAR PUR DELHI 110054,Delhi,Central Delhi,Not Applicable,110054,28,77,09:00:00,17:00:00,Free,"{'session_id': '9c014975-10f3-4185-bcbd-41f780b50505', 'date': '21-05-2021', 'available_capacity': 200, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 100, 'available_capacity_dose2': 100}",,9c014975-10f3-4185-bcbd-41f780b50505,21-05-2021,200,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",100,100
30,645205,Balak Ram Hospital SITE 3,BALAK RAM HOSPITAL TIMAR PUR DELHI 110054,Delhi,Central Delhi,Not Applicable,110054,28,77,09:00:00,17:00:00,Free,"{'session_id': '31352015-67f5-4918-83da-45831b8014f9', 'date': '22-05-2021', 'available_capacity': 197, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 97, 'available_capacity_dose2': 100}",,31352015-67f5-4918-83da-45831b8014f9,22-05-2021,197,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",97,100
31,580638,ARUNA ASAF HOSPITAL SITE 2,"5-Rajpur Road, Delhi-110054",Delhi,Central Delhi,Not Applicable,110006,28,77,09:00:00,21:00:00,Free,"{'session_id': 'b7ad99d3-d6cc-4b1f-96be-903772d900b2', 'date': '20-05-2021', 'available_capacity': 122, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 36, 'available_capacity_dose2': 86}",,b7ad99d3-d6cc-4b1f-96be-903772d900b2,20-05-2021,122,45,COVISHIELD,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",36,86
31,580638,ARUNA ASAF HOSPITAL SITE 2,"5-Rajpur Road, Delhi-110054",Delhi,Central Delhi,Not Applicable,110006,28,77,09:00:00,21:00:00,Free,"{'session_id': '486c3cc9-fa52-4cab-b0ec-f3e401d8605b', 'date': '21-05-2021', 'available_capacity': 164, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 64, 'available_capacity_dose2': 100}",,486c3cc9-fa52-4cab-b0ec-f3e401d8605b,21-05-2021,164,45,COVISHIELD,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",64,100
31,580638,ARUNA ASAF HOSPITAL SITE 2,"5-Rajpur Road, Delhi-110054",Delhi,Central Delhi,Not Applicable,110006,28,77,09:00:00,21:00:00,Free,"{'session_id': '8d098030-6c49-4ebb-90da-4bb16b08a888', 'date': '22-05-2021', 'available_capacity': 168, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 82, 'available_capacity_dose2': 86}",,8d098030-6c49-4ebb-90da-4bb16b08a888,22-05-2021,168,45,COVISHIELD,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",82,86
31,580638,ARUNA ASAF HOSPITAL SITE 2,"5-Rajpur Road, Delhi-110054",Delhi,Central Delhi,Not Applicable,110006,28,77,09:00:00,21:00:00,Free,"{'session_id': 'd796788c-9236-4335-b4d2-12d538545f57', 'date': '24-05-2021', 'available_capacity': 182, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 92, 'available_capacity_dose2': 90}",,d796788c-9236-4335-b4d2-12d538545f57,24-05-2021,182,45,COVISHIELD,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",92,90
31,580638,ARUNA ASAF HOSPITAL SITE 2,"5-Rajpur Road, Delhi-110054",Delhi,Central Delhi,Not Applicable,110006,28,77,09:00:00,21:00:00,Free,"{'session_id': 'd2e36b02-6fd5-4030-96b3-95a0785bad60', 'date': '25-05-2021', 'available_capacity': 186, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM'], 'available_capacity_dose1': 95, 'available_capacity_dose2': 91}",,d2e36b02-6fd5-4030-96b3-95a0785bad60,25-05-2021,186,45,COVISHIELD,"['09:00AM-12:00PM', '12:00PM-03:00PM', '03:00PM-06:00PM', '06:00PM-09:00PM']",95,91
32,4689,MCW Burari PHC,"M And CW BURARI, Burari Chowk Burari Mor , Near Hariyana Dairy HANUMAN MANDIR DELHI-84",Delhi,Central Delhi,Not Applicable,110084,28,77,09:00:00,17:00:00,Free,"{'session_id': '31963333-e1fb-4542-b3e1-6a06a10668e0', 'date': '20-05-2021', 'available_capacity': 2, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 2}",,31963333-e1fb-4542-b3e1-6a06a10668e0,20-05-2021,2,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,2
32,4689,MCW Burari PHC,"M And CW BURARI, Burari Chowk Burari Mor , Near Hariyana Dairy HANUMAN MANDIR DELHI-84",Delhi,Central Delhi,Not Applicable,110084,28,77,09:00:00,17:00:00,Free,"{'session_id': 'be6c6b86-51ef-44fe-8943-34bf4814a4e8', 'date': '22-05-2021', 'available_capacity': 13, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 13}",,be6c6b86-51ef-44fe-8943-34bf4814a4e8,22-05-2021,13,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,13
32,4689,MCW Burari PHC,"M And CW BURARI, Burari Chowk Burari Mor , Near Hariyana Dairy HANUMAN MANDIR DELHI-84",Delhi,Central Delhi,Not Applicable,110084,28,77,09:00:00,17:00:00,Free,"{'session_id': '9772be48-8af2-4710-a846-bf3bf98807e8', 'date': '24-05-2021', 'available_capacity': 24, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 12, 'available_capacity_dose2': 12}",,9772be48-8af2-4710-a846-bf3bf98807e8,24-05-2021,24,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",12,12
32,4689,MCW Burari PHC,"M And CW BURARI, Burari Chowk Burari Mor , Near Hariyana Dairy HANUMAN MANDIR DELHI-84",Delhi,Central Delhi,Not Applicable,110084,28,77,09:00:00,17:00:00,Free,"{'session_id': '2e29a9b4-3556-454b-9923-3d05f8c6a0ca', 'date': '25-05-2021', 'available_capacity': 37, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 23, 'available_capacity_dose2': 14}",,2e29a9b4-3556-454b-9923-3d05f8c6a0ca,25-05-2021,37,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",23,14
33,702672,SKV Nehru Vihar,DGD Majnu Ka Tilla,Delhi,Central Delhi,Not Applicable,110054,28,77,09:00:00,17:00:00,Free,"{'session_id': 'f2675418-e651-40aa-94f4-919fd400cb45', 'date': '20-05-2021', 'available_capacity': 50, 'min_age_limit': 45, 'vaccine': 'COVISHIELD', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 25, 'available_capacity_dose2': 25}",,f2675418-e651-40aa-94f4-919fd400cb45,20-05-2021,50,45,COVISHIELD,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",25,25
34,4592,MCW Nabi Karim PHC,10615-16 NABI KARIM DELHI,Delhi,Central Delhi,Not Applicable,110055,28,77,09:00:00,17:00:00,Free,"{'session_id': '9bee966b-d23a-4bbe-af6a-ab1ed886e54f', 'date': '20-05-2021', 'available_capacity': 0, 'min_age_limit': 45, 'vaccine': 'COVAXIN', 'slots': ['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM'], 'available_capacity_dose1': 0, 'available_capacity_dose2': 0}",,9bee966b-d23a-4bbe-af6a-ab1ed886e54f,20-05-2021,0,45,COVAXIN,"['09:00AM-11:00AM', '11:00AM-01:00PM', '01:00PM-03:00PM', '03:00PM-05:00PM']",0,0
